gpu_profile,gpu_label,model_key,density,density_level,target_long_fraction_pct,losing_metrics,severity,all_ttft_p99_ratio,short_ttft_p99_ratio,all_completion_p99_ratio,round_wall_ratio,throughput_ratio,note
a100,A100,mistral-7b-instruct-v0.2,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.586001,1.23519,3.22167,2.06887,0.483315,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,baichuan2-7b-chat,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.629158,1.67272,4.13773,2.29183,0.43632,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,mistral-7b-instruct-v0.2,high_l10,high,10,all p99 TTFT,paper_caveat,0.773676,1.14836,3.26288,2.37865,0.419812,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,qwen2.5-7b-instruct,high_l10,high,10,all p99 TTFT,paper_caveat,0.81879,2.33875,4.20012,2.51617,0.397419,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,baichuan2-7b-chat,high_l10,high,10,all p99 TTFT,paper_caveat,0.819453,2.38387,4.54478,2.72515,0.366954,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,gemma-7b-it,high_l10,high,10,all p99 TTFT,paper_caveat,0.850118,2.67518,3.82794,2.71192,0.372434,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,gemma-7b-it,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.859528,2.72374,4.15937,2.38197,0.41982,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,mistral-7b-instruct-v0.2,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.869183,2.62054,3.08678,2.05526,0.486492,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,baichuan2-7b-chat,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.888057,3.12156,4.18317,2.29791,0.435184,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,qwen2.5-7b-instruct,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.897569,2.77799,3.64565,2.12299,0.471037,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
a100,A100,mistral-7b-instruct-v0.2,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.913395,3.07905,4.05398,2.3466,0.426178,A100 all-TTFT exception; short-TTFT and guardrail metrics stay winning in this run.
rtx4090,RTX 4090,baichuan2-7b-chat,mid_l30,mid,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.122879,0.15404,1.52658,1.56373,0.638171,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,mid_l50,mid,50,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.130307,0.1186,1.48885,1.35475,0.738142,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,mid_l50,mid,50,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.136035,0.0860633,0.492971,0.666922,1.49818,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,mid_l30,mid,30,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.15786,0.244475,0.698362,0.896515,1.11546,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,mid_l30,mid,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.159275,0.152797,1.5099,1.62563,0.615163,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,high_l30,high,30,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.17072,0.177553,0.675606,0.843895,1.18311,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,mid_l90,mid,90,all p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.176654,3.07444,0.508175,0.676144,1.47886,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,high_l50,high,50,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.189939,0.166539,1.24107,1.31543,0.754475,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,mid_l50,mid,50,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.194407,0.126638,1.34991,1.43688,0.69609,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,mid_l70,mid,70,all p99 TTFT; all p99 completion,spot_rerun_candidate,0.201461,2.94709,0.823743,1.02817,0.972418,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,high_l30,high,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.204308,0.218577,1.52829,1.59229,0.627612,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,high_l50,high,50,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.208972,0.13368,0.568977,0.688756,1.44505,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,mid_l70,mid,70,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.209567,0.0489036,0.431424,0.601348,1.66025,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
